code,location,infant,time_point,trimmed_seq_depth_bp,assembly_length,campaign
N3_174_017G1,infant_gut,N3_174,17,3513770048,12234007,NIH3
N3_174_021G1,infant_gut,N3_174,21,3161858792,18761714,NIH3
N3_174_023G1,infant_gut,N3_174,23,2021113202,27901959,NIH3
N3_174_034G1,infant_gut,N3_174,34,2492808604,32893945,NIH3
N3_174_037G1,infant_gut,N3_174,37,2942496202,24545906,NIH3
N3_174_038G1,infant_gut,N3_174,38,2805449882,36238869,NIH3
N3_175_017G1,infant_gut,N3_175,17,2742117064,29365154,NIH3
N3_175_018G1,infant_gut,N3_175,18,2850513692,30998253,NIH3
N3_175_019G1,infant_gut,N3_175,19,2559638260,31973665,NIH3
N3_175_020G1,infant_gut,N3_175,20,2530494084,17222906,NIH3
N3_175_032G1,infant_gut,N3_175,32,2379571740,17629433,NIH3
N3_175_035G1,infant_gut,N3_175,35,2616005920,27737299,NIH3
N3_175_046G1,infant_gut,N3_175,46,2911930052,41442878,NIH3
N3_175_051G1,infant_gut,N3_175,51,2780931958,48252446,NIH3
N3_176_013G1,infant_gut,N3_176,13,2546239174,16324343,NIH3
N3_176_014G1,infant_gut,N3_176,14,2516929628,18681374,NIH3
N3_176_015G1,infant_gut,N3_176,15,2909065424,20330785,NIH3
N3_176_027G1,infant_gut,N3_176,27,3289358254,28520742,NIH3
N3_176_035G1,infant_gut,N3_176,35,2680880046,40325400,NIH3
N3_176_038G1,infant_gut,N3_176,38,6322349398,53306864,NIH3
N3_176_045G1,infant_gut,N3_176,45,2872246696,48884502,NIH3
N3_177_009G1,infant_gut,N3_177,9,3062267824,26065601,NIH3
N3_177_018G1,infant_gut,N3_177,18,2706069486,22857014,NIH3
N3_177_024G1,infant_gut,N3_177,24,2976367542,25710432,NIH3
N3_178_011G1,infant_gut,N3_178,11,2432754358,23227352,NIH3
N3_178_011G2,infant_gut,N3_178,11,3025315080,32333665,NIH3
N3_178_012G1,infant_gut,N3_178,12,3105627878,33287570,NIH3
N3_178_013G1,infant_gut,N3_178,13,2734190064,32645411,NIH3
N3_178_014G1,infant_gut,N3_178,14,3032202830,44983435,NIH3
N3_178_014G2,infant_gut,N3_178,14,2789271964,25089410,NIH3
N3_178_015G1,infant_gut,N3_178,15,2732950146,28794856,NIH3
N3_182_019G1,infant_gut,N3_182,19,3120106716,20256668,NIH3
N3_182_020G1,infant_gut,N3_182,20,4072477870,24729961,NIH3
N3_183_013G1,infant_gut,N3_183,13,2668270952,11317200,NIH3
N4_005_008G1,infant_gut,N4_005,8,5648807088,17145756,NIH4
N4_005_017G1,infant_gut,N4_005,17,6051056592,17576835,NIH4
N4_005_026G1,infant_gut,N4_005,26,6803205896,44777760,NIH4
N4_079_008G1,infant_gut,N4_079,8,8918513474,21412327,NIH4
N4_079_014G1,infant_gut,N4_079,14,8337512588,5294407,NIH4
N4_079_021G1,infant_gut,N4_079,21,5572332660,22911104,NIH4
N4_082_006G1,infant_gut,N4_082,6,9773637446,6801572,NIH4
N4_082_007G1,infant_gut,N4_082,7,8234571294,6525275,NIH4
N4_082_014G1,infant_gut,N4_082,14,7013716238,22320412,NIH4
N4_082_020G1,infant_gut,N4_082,20,7054966212,48352093,NIH4
N4_082_024G1,infant_gut,N4_082,24,9313240138,42692008,NIH4
N4_083_014G1,infant_gut,N4_083,14,6792105958,29352186,NIH4
N4_083_020G1,infant_gut,N4_083,20,7290384310,45015291,NIH4
N4_083_024G1,infant_gut,N4_083,24,7081585612,41157881,NIH4
N4_087_009G1,infant_gut,N4_087,9,5381761054,32635778,NIH4
N4_087_015G1,infant_gut,N4_087,15,7866711946,35952440,NIH4
N4_087_026G1,infant_gut,N4_087,26,8722098634,50335698,NIH4
N4_089_008G1,infant_gut,N4_089,8,13881757348,16798848,NIH4
N4_089_008G2,infant_gut,N4_089,8,10622295590,16551348,NIH4
N4_089_018G1,infant_gut,N4_089,18,7566619480,23044654,NIH4
N4_089_018G2,infant_gut,N4_089,18,6489921618,22859997,NIH4
N4_089_022G1,infant_gut,N4_089,22,6970232594,22545820,NIH4
N4_089_027G1,infant_gut,N4_089,27,8150684060,25140080,NIH4
N4_094_008G1,infant_gut,N4_094,8,6414500368,15391854,NIH4
N4_094_010G1,infant_gut,N4_094,10,8647673430,11950658,NIH4
N4_094_010G2,infant_gut,N4_094,10,498116480,7980918,NIH4
N4_094_012G1,infant_gut,N4_094,12,7400527936,19270270,NIH4
N4_094_018G1,infant_gut,N4_094,18,9096465688,29777591,NIH4
N4_094_023G1,infant_gut,N4_094,23,8302292978,28512276,NIH4
N4_095_012G1,infant_gut,N4_095,12,6990653790,20482369,NIH4
N4_095_016G1,infant_gut,N4_095,16,9344777654,22619493,NIH4
N4_095_019G1,infant_gut,N4_095,19,7357510966,20253717,NIH4
N4_095_025G1,infant_gut,N4_095,25,6962980698,29057781,NIH4
N4_097_005G1,infant_gut,N4_097,5,6709554810,16423646,NIH4
N4_097_007G1,infant_gut,N4_097,7,7097408994,10653130,NIH4
N4_097_010G1,infant_gut,N4_097,10,6737058216,22407895,NIH4
